TrafficLevel,IndustrialActivity,Temperature,Humidity,AQI,RespiratoryCases
medium,low,hot,medium,moderate,high
medium,low,mild,low,poor,high
high,medium,mild,medium,poor,high
medium,low,mild,high,poor,medium
low,medium,hot,low,poor,medium
medium,medium,hot,low,poor,medium
medium,high,cold,high,poor,medium
medium,low,mild,medium,good,low
high,high,mild,high,poor,high
high,medium,mild,medium,poor,high
medium,medium,mild,medium,poor,high
medium,medium,cold,low,poor,high
low,medium,mild,low,poor,high
medium,medium,mild,high,poor,medium
low,medium,hot,low,poor,low
medium,medium,mild,medium,poor,high
low,high,cold,high,poor,high
medium,high,cold,low,poor,medium
low,high,hot,low,poor,high
low,medium,mild,high,moderate,medium
low,low,cold,high,poor,high
medium,medium,cold,low,poor,high
medium,low,cold,low,poor,high
medium,high,mild,low,poor,high
medium,low,mild,medium,poor,high
medium,medium,cold,low,poor,low
medium,medium,cold,high,moderate,medium
low,medium,mild,medium,poor,high
low,low,cold,medium,good,medium
medium,medium,mild,low,poor,high
medium,medium,cold,high,good,medium
medium,medium,cold,low,poor,high
medium,high,mild,low,poor,high
low,low,mild,medium,poor,high
low,high,mild,low,poor,medium
medium,low,mild,low,poor,high
low,medium,mild,low,poor,high
low,medium,cold,medium,good,high
medium,medium,mild,high,poor,medium
medium,high,mild,medium,poor,high
high,low,mild,medium,poor,high
low,medium,mild,low,poor,medium
medium,low,mild,medium,poor,high
high,medium,cold,high,poor,high
high,medium,hot,low,poor,high
medium,high,cold,medium,poor,high
low,medium,hot,low,poor,high
medium,medium,cold,medium,poor,high
high,medium,cold,low,poor,high
high,high,mild,low,poor,high
medium,medium,mild,medium,poor,high
medium,medium,mild,high,poor,high
medium,medium,mild,high,poor,high
medium,low,mild,medium,poor,high
low,low,hot,medium,poor,medium
low,medium,mild,medium,moderate,medium
low,low,mild,low,moderate,medium
medium,high,mild,low,poor,high
medium,medium,cold,medium,good,low
high,high,mild,medium,poor,high
low,medium,cold,medium,poor,high
